ticket_id,created_at,first_response_at,resolved_at,status,priority,channel,issue_type,subcategory,customer_id,agent_id,team,sla_target_hours,csat_score,reopened_flag
20001,2026-01-03 09:12:00,2026-01-03 09:35:00,2026-01-03 13:10:00,resolved,medium,email,Authentication,SSO login failure,1001,501,Core Support,8,5,False
20002,2026-01-03 10:05:00,2026-01-03 10:15:00,2026-01-04 16:30:00,resolved,high,chat,Billing,failed invoice,1003,505,Billing Ops,12,3,True
20003,2026-01-04 08:40:00,2026-01-04 09:20:00,2026-01-05 11:00:00,resolved,high,email,Integrations,calendar sync issue,1002,504,Integrations,24,4,False
20004,2026-01-04 11:10:00,2026-01-04 11:25:00,2026-01-04 15:45:00,resolved,low,web,Email Templates,template formatting issue,1004,503,Core Support,8,5,False
20005,2026-01-05 14:20:00,2026-01-05 15:05:00,2026-01-07 09:10:00,resolved,urgent,api,API Errors,webhook timeout,1006,504,Integrations,16,2,True
20006,2026-01-05 16:45:00,2026-01-05 17:10:00,2026-01-06 10:20:00,resolved,medium,chat,Reporting,report export error,1005,502,Technical Support,12,4,False
20007,2026-01-06 09:05:00,2026-01-06 09:25:00,2026-01-06 12:30:00,resolved,low,email,Account Setup,user invite issue,1007,503,Core Support,8,5,False
20008,2026-01-06 13:00:00,2026-01-06 13:40:00,2026-01-08 17:15:00,resolved,high,email,Candidate Sync,duplicate candidate record,1005,502,Technical Support,24,3,True
20009,2026-01-07 08:55:00,2026-01-07 09:05:00,2026-01-07 11:10:00,resolved,medium,chat,Scheduling,interview booking issue,1002,501,Core Support,8,4,False
20010,2026-01-07 10:30:00,2026-01-07 10:50:00,2026-01-09 14:20:00,resolved,high,email,Workflow Automation,automation not triggering,1008,506,Technical Support,24,3,True
20011,2026-01-08 09:15:00,2026-01-08 09:22:00,2026-01-08 10:40:00,resolved,low,chat,Authentication,password reset,1004,501,Core Support,4,5,False
20012,2026-01-08 15:00:00,2026-01-08 15:45:00,2026-01-10 12:10:00,resolved,urgent,email,Integrations,ATS connection failure,1003,504,Integrations,16,2,True
